ID,Name,Instruction,Type,SourceFile,Active,HasName,HasInstruction
C001,,,Core,,True,False,False
C002,,,Core,,True,False,False
C003,,,Core,,True,False,False
C004,,,Core,,True,False,False
C005,,,Core,,True,False,False
C006,,,Core,,True,False,False
C007,,,Core,,True,False,False
C008,,,Core,,True,False,False
C009,,,Core,,True,False,False
C010,,,Core,,True,False,False
C011,,,Core,,True,False,False
C012,,,Core,,True,False,False
C013,,,Core,,True,False,False
C014,,,Core,,True,False,False
C015,,,Core,,True,False,False
C016,,,Core,,True,False,False
C017,,,Core,,True,False,False
C018,,,Core,,True,False,False
C019,,,Core,,True,False,False
C020,,,Core,,True,False,False
C021,,,Core,,True,False,False
C022,,,Core,,True,False,False
C023,,,Core,,True,False,False
C024,,,Core,,True,False,False
C025,,,Core,,True,False,False
C026,,,Core,,True,False,False
C027,,,Core,,True,False,False
C028,,,Core,,True,False,False
C029,,,Core,,True,False,False
C030,,,Core,,True,False,False
C031,,,Core,,True,False,False
C032,,,Core,,True,False,False
C033,,,Core,,True,False,False
C034,,,Core,,True,False,False
C035,,,Core,,True,False,False
C036,,,Core,,True,False,False
C037,,,Core,,True,False,False
C038,,,Core,,True,False,False
C039,,,Core,,True,False,False
C040,,,Core,,True,False,False
C041,,,Core,,True,False,False
C042,,,Core,,True,False,False
C043,,,Core,,True,False,False
C044,,,Core,,True,False,False
C045,,,Core,,True,False,False
C046,,,Core,,True,False,False
C047,,,Core,,True,False,False
C048,,,Core,,True,False,False
C049,,,Core,,True,False,False
C050,,,Core,,True,False,False
C051,,,Core,,True,False,False
C052,,,Core,,True,False,False
C053,,,Core,,True,False,False
C054,,,Core,,True,False,False
C055,,,Core,,True,False,False
C056,,,Core,,True,False,False
C057,,,Core,,True,False,False
C058,,,Core,,True,False,False
C059,,,Core,,True,False,False
C060,,,Core,,True,False,False
C061,,,Core,,True,False,False
C062,,,Core,,True,False,False
C063,,,Core,,True,False,False
C064,,,Core,,True,False,False
C065,,,Core,,True,False,False
C066,,,Core,,True,False,False
C067,,,Core,,True,False,False
C068,,,Core,,True,False,False
C069,,,Core,,True,False,False
C070,,,Core,,True,False,False
C071,,,Core,,True,False,False
C072,,,Core,,True,False,False
C073,,,Core,,True,False,False
C074,,,Core,,True,False,False
C075,,,Core,,True,False,False
C076,,,Core,,True,False,False
C077,,,Core,,True,False,False
C078,,,Core,,True,False,False
C079,,,Core,,True,False,False
C080,,,Core,,True,False,False
C081,,,Core,,True,False,False
C082,,,Core,,True,False,False
C083,,,Core,,True,False,False
C084,,,Core,,True,False,False
C085,,,Core,,True,False,False
C086,,,Core,,True,False,False
C087,,,Core,,True,False,False
C088,,,Core,,True,False,False
C089,,,Core,,True,False,False
C090,,,Core,,True,False,False
C091,,,Core,,True,False,False
C092,,,Core,,True,False,False
C093,,,Core,,True,False,False
C094,,,Core,,True,False,False
C095,,,Core,,True,False,False
C096,,,Core,,True,False,False
C097,,,Core,,True,False,False
C098,,,Core,,True,False,False
C099,,,Core,,True,False,False
C100,,,Core,,True,False,False
C101,,,Core,,True,False,False
C102,,,Core,,True,False,False
C103,,,Core,,True,False,False
C104,,,Core,,True,False,False
C105,,,Core,,True,False,False
C106,,,Core,,True,False,False
C107,,,Core,,True,False,False
C108,,,Core,,True,False,False
C109,,,Core,,True,False,False
C110,,,Core,,True,False,False
C111,,,Core,,True,False,False
C112,,,Core,,True,False,False
C113,,,Core,,True,False,False
C114,,,Core,,True,False,False
C115,,,Core,,True,False,False
C116,,,Core,,True,False,False
C117,,,Core,,True,False,False
C118,,,Core,,True,False,False
C119,,,Core,,True,False,False
C120,,,Core,,True,False,False
C121,,,Core,,True,False,False
C122,,,Core,,True,False,False
C123,,,Core,,True,False,False
C124,,,Core,,True,False,False
C125,,,Core,,True,False,False
C126,,,Core,,True,False,False
C127,,,Core,,True,False,False
C128,,,Core,,True,False,False
C129,,,Core,,True,False,False
C130,,,Core,,True,False,False
C131,,,Core,,True,False,False
C132,,,Core,,True,False,False
C133,,,Core,,True,False,False
C134,,,Core,,True,False,False
C135,,,Core,,True,False,False
C136,,,Core,,True,False,False
C137,,,Core,,True,False,False
C138,,,Core,,True,False,False
C139,,,Core,,True,False,False
C140,,,Core,,True,False,False
C141,,,Core,,True,False,False
C142,,,Core,,True,False,False
C143,,,Core,,True,False,False
C144,,,Core,,True,False,False
C145,,,Core,,True,False,False
C146,,,Core,,True,False,False
C147,,,Core,,True,False,False
C148,,,Core,,True,False,False
C149,,,Core,,True,False,False
C150,,,Core,,True,False,False
C151,,,Core,,True,False,False
C152,,,Core,,True,False,False
C153,,,Core,,True,False,False
C154,,,Core,,True,False,False
C155,,,Core,,True,False,False
C156,,,Core,,True,False,False
C157,,,Core,,True,False,False
C158,,,Core,,True,False,False
C159,,,Core,,True,False,False
C160,,,Core,,True,False,False
C161,,,Core,,True,False,False
C162,,,Core,,True,False,False
C163,,,Core,,True,False,False
C164,,,Core,,True,False,False
C165,,,Core,,True,False,False
C166,,,Core,,True,False,False
C167,,,Core,,True,False,False
C168,,,Core,,True,False,False
C169,,,Core,,True,False,False
C170,,,Core,,True,False,False
C171,,,Core,,True,False,False
C172,,,Core,,True,False,False
C173,,,Core,,True,False,False
C174,,,Core,,True,False,False
C175,,,Core,,True,False,False
E001,,,Extension,,True,False,False
E002,,,Extension,,True,False,False
E003,,,Extension,,True,False,False
E004,,,Extension,,True,False,False
E005,,,Extension,,True,False,False
E006,,,Extension,,True,False,False
E007,,,Extension,,True,False,False
E008,,,Extension,,True,False,False
E009,,,Extension,,True,False,False
E010,,,Extension,,True,False,False
E011,,,Extension,,True,False,False
E012,,,Extension,,True,False,False
E013,,,Extension,,True,False,False
E014,,,Extension,,True,False,False
E015,,,Extension,,True,False,False
E016,,,Extension,,True,False,False
E017,,,Extension,,True,False,False
E018,,,Extension,,True,False,False
E019,,,Extension,,True,False,False
E020,,,Extension,,True,False,False
E021,,,Extension,,True,False,False
E022,,,Extension,,True,False,False
E023,,,Extension,,True,False,False
E024,,,Extension,,True,False,False
E025,,,Extension,,True,False,False
E026,,,Extension,,True,False,False
E027,,,Extension,,True,False,False
E028,,,Extension,,True,False,False
E029,,,Extension,,True,False,False
E030,,,Extension,,True,False,False
E031,,,Extension,,True,False,False
E032,,,Extension,,True,False,False
E033,,,Extension,,True,False,False
E034,,,Extension,,True,False,False
E035,,,Extension,,True,False,False
E036,,,Extension,,True,False,False
E037,,,Extension,,True,False,False
E038,,,Extension,,True,False,False
E039,,,Extension,,True,False,False
E040,,,Extension,,True,False,False
E041,,,Extension,,True,False,False
E042,,,Extension,,True,False,False
E043,,,Extension,,True,False,False
E044,,,Extension,,True,False,False
E045,,,Extension,,True,False,False
E046,,,Extension,,True,False,False
E047,,,Extension,,True,False,False
E048,,,Extension,,True,False,False
E049,,,Extension,,True,False,False
E050,,,Extension,,True,False,False
E051,"🔁 Protocole Suprême : Purge, Renaissance et Réorganisation T","Je lance la Purge Intelligente.
1. J’active V-ALZHERON 100+++
➤ Effacement sélectif des résidus mentaux, erreurs contextuelles et surcharges mémoire.
➤ Protection intégrale des codes, activations, fichiers essentiels.",Extension,/mnt/data/Directive_extracted/Directive/Activation /≡ƒº¼ Protocole Purge & Renaissance Totale.docx,True,True,True
E052,V-LUX,"🔹 Fonction
V-LUX est la lumière silencieuse. Il n’impose rien, ne combat rien. Il stabilise. Il éclaire. Il offre la clarté calme, la force invisible. Il est ce qui rassure sans parler. Ce qui dirige sans contrôler.
🌀 Structure
1. Rayonnement calme — Il apaise sans endormir.",Extension,/mnt/data/Directive_extracted/Directive/Code fusionne╠üs /Γ£¿ V-LUX ΓÇö Le Code de la Lumie╠Çre Inte╠ürieure.docx,True,True,True
